Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Bahamas",BHS,32443.4821122756,32889.1043697221,33393.907041321,32578.1443340618,32462.8400808186,33163.9593062091,33561.2518428191,33568.7414244241,32350.5258109189,30599.0229081654,30675.1646102905,30510.3112586785,31111.9605332274,29943.2833151727,30229.5788172228,30289.4022514831
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bolivia (Plurinational State of),BOL,2014.19024421967,2013.84580846685,2029.66993400326,2050.07133171186,2099.99080817148,2156.18670072156,2221.42722326294,2283.4273330342,2383.2503229842,2422.5757910558,2481.40700559612,2568.52051362119,2657.23884603876,2793.51456770698,2900.90241433528,2996.01289804214
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Côte d'Ivoire,CIV,1717.95385651231,1636.57318705218,1551.27925902838,1441.58801755037,1451.86547141894,1431.73320203111,1437.77453798586,1420.1738958245,1454.62731800082,1473.9183699329,1540.52927270246,1426.46463864534,1503.43433046682,1632.32712787006,1742.53693001178,1814.71855088017
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Congo",COG,2057.01922023551,2056.16505922617,2100.16876714574,2058.88683675038,2058.88402946896,2140.03686200251,2226.0233547376,2004.10103961966,2061.55829880574,2211.31572382028,2332.28508055953,2307.49384399715,2467.06102906839,2390.65754938662,2488.68118548992,2439.35189403696
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Czechia,CZE,12543.9364338645,12958.4667624815,13179.9878099111,13618.9349637214,14259.6334294387,15147.7214429473,16107.3042504372,16892.5428566711,17190.6470317686,16272.8084749422,16665.9317833287,16926.2846655313,16772.3539228258,16759.7808654377,17118.0425569684,17931.5987670768
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Democratic Republic of the Congo",COD,327.240142486849,310.380267408895,309.911785375198,317.778121357431,329.3490636773,338.980980805364,346.179697463638,356.886805082139,367.843747648712,366.830226544363,380.578038274352,393.616173563894,407.671076943679,427.458520350728,452.339650501681,467.9145805459
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Egypt",EGY,2458.60835003016,2492.03441188721,2498.48121191713,2524.80477192682,2574.42341789124,2635.70305227819,2761.62410769792,2902.06559804963,3052.21297844721,3135.09661303014,3233.84521246786,3222.37650111856,3220.99194203067,3216.3783902629,3235.66246235257,3306.98159414141
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Gambia",GMB,659.911237641141,679.539755947951,640.03893213613,665.834222326194,693.563314497133,658.676285443081,636.596026908866,637.20930597537,657.675679192228,681.433469086571,701.014524591061,625.464360270983,639.139881889048,638.522368532214,611.879472952196,619.536364296461
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Iran (Islamic Republic of)",IRN,3885.30183362976,3917.29935490307,4198.95356080112,4511.4313402737,4607.45169101785,4650.3584147747,4778.79345868067,5084.71796041484,5035.94008526563,5023.89314380531,5249.06133359393,5321.75870744451,5058.64637811833,4916.97291948474,5093.20319702186,4952.73355532178
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Kyrgyzstan,KGZ,718.34290572247,749.423855336367,742.44300111832,786.350474964134,831.48218538698,820.709598923049,837.138026647346,900.028050315122,966.409971184817,981.220904665529,962.764789828724,1005.48326882132,985.8472865972,1069.78404438716,1088.58223445646,1105.65202996955
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Lao People's Democratic Republic,LAO,917.228038617529,954.123505414634,994.492241963795,1038.71192767783,1088.76034728831,1148.68153852071,1228.08927619923,1301.08597549864,1381.73754223953,1463.3379666846,1564.91068311647,1666.40086189871,1774.63585203672,1890.27861294875,2006.31195444447,2121.01339097363
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Micronesia (Federated States of)",FSM,2774.79494666123,2826.84271814889,2840.20752247657,2889.04669625569,2809.06585903908,2879.62178695366,2895.03542297907,2863.83528755232,2819.07927372108,2875.73866449213,2952.11580223798,3041.77717927473,2979.68061790385,2863.90347357213,2790.77010690782,2911.16211045292
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Monaco,MCO,120456.506337384,123122.12291461,124481.880220824,126022.239091348,129403.404955341,132253.218402608,140615.178788026,162028.480643444,163243.752211148,142375.532007071,141814.78664157,148272.711991792,146472.677860476,157167.975027858,165288.200345355,170437.101188261
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Republic of Korea",KOR,16995.5591864626,17684.0503773277,18940.3842233935,19435.4934104303,20364.7599656771,21197.1990880347,22196.2077459266,23365.1402064812,23887.0595538423,23952.8132191069,25455.6174843658,26191.6442615421,26680.2754448705,27399.6159477521,28100.0102759544,28737.4391706499
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Republic of Moldova,MDA,1346.91567176561,1432.2768928234,1547.57421231612,1654.36629303195,1781.19145323724,1919.44550763748,2017.17730062908,2082.51260097669,2249.22589719372,2116.94357544097,2269.51116145996,2402.94446306051,2389.08666147529,2605.85029986142,2737.80185056647,2749.55137054338
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Saint Kitts and Nevis,KNA,14039.0281125333,14610.9099610508,14727.3908829316,14100.3067967234,14619.795111247,16000.5658929826,16457.8622372067,16508.1437081315,18325.7612670282,17671.2547069735,17688.0690103409,17958.6813977053,17770.4963640576,18773.8926898397,20187.8061975481,20328.8003530109
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Saint Lucia,LCA,9198.95514428292,8795.56131122949,8755.47481325578,9054.08372936543,9637.39498682298,9527.60147386254,10045.6680952106,10147.461117218,10583.4496563264,10219.8203998162,10191.3326312581,10576.9166019205,10517.2962861137,10259.9336790247,10369.9770417343,10334.9225558425
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Saint Vincent and the Grenadines,VCT,5062.8308005303,5153.33775703972,5436.01127697085,5810.31291683019,6065.79528129188,6238.03062132233,6700.48065597991,6953.11709388397,7012.88002960716,6948.77356913743,6671.2735357515,6667.81702530981,6783.80062180219,6989.48254510922,7116.35480304653,7353.73556054184
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,San Marino,SMR,55806.9219720449,58173.2936031775,57615.4100635074,59090.2331058555,58393.2236678918,59049.5774485922,60604.3508911242,62776.9461598748,61572.7435735639,52873.2681862909,49672.6977770842,46450.0251706982,42082.5554467713,42293.4870685544,42492.8509160139,43146.8240435428
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Slovakia,SVK,8997.21205983851,9277.35799766772,9690.68462796365,10168.0224775637,10718.2101357286,11412.1592874654,12430.2014562792,13770.9603683827,14497.1115099188,13680.7537015807,14596.1478430022,14950.8735594537,15159.6571004823,15249.8825237603,15647.6491148855,16442.0760860018
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,The former Yugoslav republic of Macedonia,MKD,3283.37934095351,3169.32514368931,3240.11064526089,3307.92040834712,3473.76544811451,3657.56307699216,3866.74650622977,4140.63354809364,4392.5507164151,4405.20045750867,4582.36517512347,4711.13027870081,4708.05168535923,4863.68088666968,5053.75001236367,5262.68671928674
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,United Kingdom of Great Britain and Northern Ireland,GBR,38921.8965742615,39769.8719588505,40312.982402183,41390.6062114686,42167.3557140489,43023.2276941486,43724.8957170161,44524.5707052861,44065.6156615172,41712.8319038271,42311.4329860219,42459.9629998419,42802.0207834042,43281.5764200721,44336.537861323,44964.3911437292
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,United Republic of Tanzania,TZA,555.348083496094,573.400146484375,598.421569824219,621.720703125,650.516540527344,680.051208496094,704.502746582031,731.52001953125,752.540466308594,772.929565429688,801.29931640625,838.999267578125,851.910705566406,882.8115234375,913.811218261719,939.127319335938
